timestamp,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,staked-ether,cardano,dogecoin,solana,total
2013-08-26,1416.68,,,,50.55,,,,,,1467.23
2013-08-27,1459.37,,,,50.19,,,,,,1509.56
2013-08-28,1429.11,,,,49.63,,,,,,1478.74
2013-08-29,1434.59,,,,45.5,,,,,,1480.09
2013-08-30,1502.17,,,,47.26,,,,,,1549.43
2013-08-31,1602.41,,,,45.84,,,,,,1648.25
2013-09-01,1607.96,,,,45.35,,,,,,1653.31
2013-09-02,1597.13,,,,43.99,,,,,,1641.12
2013-09-03,1601.7,,,,44.35,,,,,,1646.05
2013-09-04,1575.53,,,,43.6,,,,,,1619.13
2013-09-05,1514.89,,,,45.65,,,,,,1560.54
2013-09-06,1470.86,,,,46.21,,,,,,1517.07
2013-09-07,1443.35,,,,48.38,,,,,,1491.73
2013-09-08,1420.95,,,,48.02,,,,,,1468.97
2013-09-09,1475.6,,,,48.38,,,,,,1523.98
2013-09-10,1492.3,,,,45.77,,,,,,1538.07
2013-09-11,1538.13,,,,47.54,,,,,,1585.67
2013-09-12,1568.87,,,,50.24,,,,,,1619.11
2013-09-13,1579.27,,,,51.51,,,,,,1630.78
2013-09-14,1537.19,,,,49.58,,,,,,1586.77
2013-09-15,1520.97,,,,50.26,,,,,,1571.23
2013-09-16,1539.43,,,,55.06,,,,,,1594.49
2013-09-17,1538.01,,,,75.13,,,,,,1613.14
2013-09-18,1547.28,,,,84.8,,,,,,1632.08
2013-09-19,1526.48,,,,86.95,,,,,,1613.43
2013-09-20,1507.62,,,,79.07,,,,,,1586.69
2013-09-21,1487.21,,,,76.19,,,,,,1563.4
2013-09-22,1506.53,,,,81.31,,,,,,1587.84
2013-09-23,1487.98,,,,78.33,,,,,,1566.31
2013-09-24,1481.14,,,,81.56,,,,,,1562.7
2013-09-25,1504.12,,,,82.79,,,,,,1586.91
2013-09-26,1505.03,,,,91.28,,,,,,1596.31
2013-09-27,1550.52,,,,101.72,,,,,,1550.52
2013-09-28,1575.66,,,,112.16,,,,,,1687.82
2013-09-29,1650.97,,,,110.55,,,,,,1761.52
2013-09-30,1549.94,,,,86.32,,,,,,1636.26
2013-10-01,1561.2,,,,93.32,,,,,,1654.52
2013-10-02,1555.75,,,,72.75,,,,,,1628.5
2013-10-03,1450.75,,,,65.68,,,,,,1516.43
2013-10-04,1512.49,,,,74.01,,,,,,1586.5
2013-10-05,1528.61,,,,72.55,,,,,,1601.16
2013-10-06,1505.55,,,,81.11,,,,,,1586.66
2013-10-07,1515.72,,,,72.95,,,,,,1588.67
2013-10-08,1484.82,,,,75.98,,,,,,1560.8
2013-10-09,1546.58,,,,73.81,,,,,,1620.39
2013-10-10,1532.82,,,,78.87,,,,,,1611.69
2013-10-11,1540.37,,,,70.88,,,,,,1611.25
2013-10-12,1601.08,,,,69.71,,,,,,1670.79
2013-10-13,1603.4,,,,69.52,,,,,,1672.92
2013-10-14,1663.46,,,,66.76,,,,,,1730.22
2013-10-15,1704.75,,,,62.44,,,,,,1767.19
2013-10-16,1702.25,,,,59.3,,,,,,1761.55
2013-10-17,1733.0,,,,60.7,,,,,,1793.7
2013-10-18,1795.18,,,,60.72,,,,,,1855.9
2013-10-19,2023.53,,,,57.02,,,,,,2080.55
2013-10-20,2042.26,,,,58.87,,,,,,2101.13
2013-10-21,2154.78,,,,52.71,,,,,,2207.49
2013-10-22,2298.99,,,,53.04,,,,,,2352.03
2013-10-23,2458.51,,,,58.09,,,,,,2516.6
2013-10-24,2364.67,,,,68.24,,,,,,2432.91
2013-10-25,2052.64,,,,54.26,,,,,,2106.9
2013-10-26,2130.64,,,,49.31,,,,,,2179.95
2013-10-27,2260.91,,,,51.95,,,,,,2312.86
2013-10-28,2365.64,,,,49.47,,,,,,2415.11
2013-10-29,2436.02,,,,46.4,,,,,,2482.42
2013-10-30,2434.77,,,,47.36,,,,,,2482.13
2013-10-31,2432.07,,,,46.89,,,,,,2478.96
2013-11-01,2449.52,,,,48.34,,,,,,2497.86
2013-11-02,2470.11,,,,51.06,,,,,,2521.17
2013-11-03,2537.56,,,,55.92,,,,,,2593.48
2013-11-04,2703.83,,,,56.21,,,,,,2760.04
2013-11-05,2756.79,,,,54.68,,,,,,2811.47
2013-11-06,3119.09,,,,60.66,,,,,,3179.75
2013-11-07,3536.07,,,,69.52,,,,,,3605.59
2013-11-08,3972.44,,,,82.55,,,,,,4054.99
2013-11-09,4284.55,,,,68.9,,,,,,4353.45
2013-11-10,3747.32,,,,67.18,,,,,,3747.32
2013-11-11,4078.79,,,,65.47,,,,,,4144.26
2013-11-12,4259.33,,,,69.78,,,,,,4329.11
2013-11-13,4844.51,,,,82.17,,,,,,4926.68
2013-11-14,4902.33,,,,77.2,,,,,,4979.53
2013-11-15,5087.75,,,,75.28,,,,,,5163.03
2013-11-16,5248.84,,,,78.04,,,,,,5326.88
2013-11-17,5862.54,,,,80.73,,,,,,5943.27
2013-11-18,6975.45,,,,85.71,,,,,,7061.16
2013-11-19,7380.46,,,,64.84,,,,,,7445.3
2013-11-20,6793.45,,,,56.96,,,,,,6850.41
2013-11-21,8114.44,,,,62.7,,,,,,8114.44
2013-11-22,8790.51,,,,68.44,,,,,,8858.95
2013-11-23,9853.53,,,,77.85,,,,,,9931.38
2013-11-24,9196.53,,,,91.61,,,,,,9196.53
2013-11-25,9544.78,,,,105.37,,,,,,9650.15
2013-11-26,10028.16,,,,180.4,,,,,,10208.56
2013-11-27,11009.42,,,,183.62,,,,,,11193.04
2013-11-28,11795.83,,,,208.16,,,,,,11795.83
2013-11-29,13280.66,,,,232.69,,,,,,13513.35
2013-11-30,13593.66,,,,279.7,,,,,,13873.36
2013-12-01,12464.72,,,,412.25,,,,,,12876.97
2013-12-02,11753.16,,,,449.65,,,,,,12202.81
2013-12-03,13020.24,,,,384.62,,,,,,13404.86
2013-12-04,13542.49,,,,425.27,,,,,,13967.76
2013-12-05,11947.41,,,,423.39,,,,,,12370.8
2013-12-06,12322.23,,,,366.82,,,,,,12689.05
2013-12-07,9816.78,,,,271.09,,,,,,10087.87
2013-12-08,8987.36,,,,269.24,,,,,,9256.6
2013-12-09,10863.89,,,,302.3,,,,,,11166.19
2013-12-10,11230.17,,,,342.01,,,,,,11572.18
2013-12-11,10741.25,,,,297.56,,,,,,11038.81
2013-12-12,10636.99,,,,270.23,,,,,,10907.22
2013-12-13,10872.2,,,,268.56,,,,,,11140.76
2013-12-14,10509.22,,,,251.81,,,,,,10761.03
2013-12-15,10363.49,,,,227.19,,,,3.49,,10594.17
2013-12-16,9573.26,,,,183.06,,,,2.56,,9756.32
2013-12-17,8393.85,,,,143.58,,,,1.62,,8539.05
2013-12-18,6791.34,,,,131.7,,,,2.19,,6925.23
2013-12-19,8233.5,,,,162.48,,,,4.3,,8400.28
2013-12-20,8436.42,,,,167.51,,,,9.87,,8613.8
2013-12-21,7246.4,,,,168.5,,,,4.69,,7419.59
2013-12-22,7907.2,,,,172.09,,,,4.64,,8083.93
2013-12-23,7854.95,,,,181.07,,,,4.02,,8040.04
2013-12-24,8030.45,,,,176.17,,,,9.21,,8215.83
2013-12-25,8140.34,,,,171.7,,,,7.96,,8320.0
2013-12-26,8944.97,,,,190.27,,,,8.01,,9143.25
2013-12-27,8944.47,,,,206.73,,,,8.2,,9159.4
2013-12-28,9002.77,,,,213.71,,,,8.42,,9224.9
2013-12-29,8855.25,,,,213.13,,,,6.79,,9075.17
2013-12-30,9270.68,,,,216.31,,,,7.58,,9494.57
2013-12-31,9205.34,,,,214.51,,,,7.9,,9427.75
2014-01-01,9358.69,,,,211.42,,,,8.08,,9578.19
2014-01-02,9417.08,,,,226.7,,,,6.84,,9650.62
2014-01-03,10062.42,,,,216.51,,,,6.39,,10285.32
2014-01-04,10350.95,,,,219.58,,,,5.92,,10576.45
2014-01-05,11207.54,,,,194.82,,,,5.89,,11408.25
2014-01-06,11414.4,,,,199.44,,,,5.67,,11619.51
2014-01-07,10107.68,,,,185.86,,,,5.33,,10298.87
2014-01-08,10256.34,,,,181.1,,,,4.96,,10442.4
2014-01-09,10443.91,,,,176.76,,,,6.1,,10626.77
2014-01-10,10570.44,,,,176.39,,,,7.63,,10746.83
2014-01-11,11094.59,,,,187.17,,,,9.16,,11290.92
2014-01-12,10630.19,,,,173.55,,,,9.39,,10813.13
2014-01-13,10309.31,,,,169.3,,,,8.81,,10487.42
2014-01-14,10276.9,,,,165.85,,,,7.87,,10450.62
2014-01-15,10555.4,,,,173.99,,,,9.84,,10739.23
2014-01-16,10283.9,,,,164.69,,,,12.0,,10460.59
2014-01-17,9979.24,,,,159.78,,,,11.62,,10150.64
2014-01-18,10315.66,,,,165.47,,,,12.99,,10494.12
2014-01-19,10293.34,,,,166.86,,,,18.23,,10478.43
2014-01-20,10677.33,,,,162.34,,,,24.75,,10864.42
