timestamp,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,staked-ether,cardano,dogecoin,solana
2013-08-26,122.04,,,,0.01,,,,,
2013-08-27,125.67,,,,0.01,,,,,
2013-08-28,123.02,,,,0.01,,,,,
2013-08-29,123.44,,,,0.01,,,,,
2013-08-30,129.2,,,,0.01,,,,,
2013-08-31,137.76,,,,0.01,,,,,
2013-09-01,138.17,,,,0.01,,,,,
2013-09-02,137.17,,,,0.01,,,,,
2013-09-03,137.51,,,,0.01,,,,,
2013-09-04,135.21,,,,0.01,,,,,
2013-09-05,129.96,,,,0.01,,,,,
2013-09-06,126.13,,,,0.01,,,,,
2013-09-07,123.73,,,,0.01,,,,,
2013-09-08,121.77,,,,0.01,,,,,
2013-09-09,126.4,,,,0.01,,,,,
2013-09-10,127.78,,,,0.01,,,,,
2013-09-11,131.65,,,,0.01,,,,,
2013-09-12,134.22,,,,0.01,,,,,
2013-09-13,135.05,,,,0.01,,,,,
2013-09-14,131.39,,,,0.01,,,,,
2013-09-15,129.95,,,,0.01,,,,,
2013-09-16,131.48,,,,0.01,,,,,
2013-09-17,131.31,,,,0.01,,,,,
2013-09-18,132.06,,,,0.01,,,,,
2013-09-19,130.23,,,,0.01,,,,,
2013-09-20,128.57,,,,0.01,,,,,
2013-09-21,126.78,,,,0.01,,,,,
2013-09-22,128.37,,,,0.01,,,,,
2013-09-23,126.73,,,,0.01,,,,,
2013-09-24,126.09,,,,0.01,,,,,
2013-09-25,127.99,,,,0.01,,,,,
2013-09-26,128.02,,,,0.01,,,,,
2013-09-27,131.84,,,,0.01,,,,,
2013-09-28,133.93,,,,0.01,,,,,
2013-09-29,140.28,,,,0.01,,,,,
2013-09-30,131.65,,,,0.01,,,,,
2013-10-01,132.55,,,,0.01,,,,,
2013-10-02,132.04,,,,0.01,,,,,
2013-10-03,123.07,,,,0.01,,,,,
2013-10-04,128.26,,,,0.01,,,,,
2013-10-05,129.57,,,,0.01,,,,,
2013-10-06,127.56,,,,0.01,,,,,
2013-10-07,128.38,,,,0.01,,,,,
2013-10-08,125.72,,,,0.01,,,,,
2013-10-09,130.9,,,,0.01,,,,,
2013-10-10,129.68,,,,0.01,,,,,
