timestamp,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,staked-ether,cardano,dogecoin,solana
2013-08-26,687.21,,,,0.04,,,,,
2013-08-27,709.22,,,,0.04,,,,,
2013-08-28,694.98,,,,0.04,,,,,
2013-08-29,698.79,,,,0.03,,,,,
2013-08-30,732.73,,,,0.03,,,,,
2013-08-31,747.9,,,,0.03,,,,,
2013-09-01,763.07,,,,0.03,,,,,
2013-09-02,778.23,,,,0.03,,,,,
2013-09-03,782.54,,,,0.03,,,,,
2013-09-04,770.86,,,,0.03,,,,,
2013-09-05,740.77,,,,0.03,,,,,
2013-09-06,718.92,,,,0.03,,,,,
2013-09-07,719.57,,,,0.03,,,,,
2013-09-08,720.23,,,,0.03,,,,,
2013-09-09,720.88,,,,0.04,,,,,
2013-09-10,729.73,,,,0.03,,,,,
2013-09-11,753.14,,,,0.03,,,,,
2013-09-12,767.85,,,,0.04,,,,,
2013-09-13,773.34,,,,0.04,,,,,
2013-09-14,766.74,,,,0.04,,,,,
2013-09-15,760.15,,,,0.04,,,,,
2013-09-16,753.55,,,,0.04,,,,,
2013-09-17,753.88,,,,0.06,,,,,
2013-09-18,759.52,,,,0.06,,,,,
2013-09-19,749.63,,,,0.06,,,,,
2013-09-20,740.33,,,,0.06,,,,,
2013-09-21,737.33,,,,0.06,,,,,
2013-09-22,734.33,,,,0.06,,,,,
2013-09-23,731.33,,,,0.06,,,,,
2013-09-24,727.94,,,,0.06,,,,,
2013-09-25,738.63,,,,0.06,,,,,
2013-09-26,740.06,,,,0.07,,,,,
2013-09-27,763.7,,,,0.07,,,,,
2013-09-28,763.25,,,,0.07,,,,,
2013-09-29,762.8,,,,0.06,,,,,
2013-09-30,762.36,,,,0.06,,,,,
2013-10-01,768.59,,,,0.07,,,,,
2013-10-02,765.63,,,,0.05,,,,,
2013-10-03,715.41,,,,0.05,,,,,
2013-10-04,745.58,,,,0.06,,,,,
2013-10-05,746.03,,,,0.05,,,,,
2013-10-06,746.49,,,,0.05,,,,,
2013-10-07,746.95,,,,0.05,,,,,
2013-10-08,731.79,,,,0.06,,,,,
2013-10-09,761.97,,,,0.05,,,,,
2013-10-10,755.8,,,,0.06,,,,,
2013-10-11,759.58,,,,0.05,,,,,
2013-10-12,779.5,,,,0.05,,,,,
2013-10-13,799.43,,,,0.05,,,,,
2013-10-14,819.35,,,,0.05,,,,,
2013-10-15,840.12,,,,0.05,,,,,
2013-10-16,838.8,,,,0.04,,,,,
2013-10-17,855.05,,,,0.05,,,,,
2013-10-18,885.46,,,,0.05,,,,,
2013-10-19,944.1,,,,0.04,,,,,
2013-10-20,1002.75,,,,0.04,,,,,
2013-10-21,1061.39,,,,0.04,,,,,
2013-10-22,1131.84,,,,0.04,,,,,
2013-10-23,1212.5,,,,0.04,,,,,
2013-10-24,1166.72,,,,0.05,,,,,
2013-10-25,1014.7,,,,0.04,,,,,
2013-10-26,1066.29,,,,0.04,,,,,
2013-10-27,1117.87,,,,0.04,,,,,
2013-10-28,1169.46,,,,0.04,,,,,
2013-10-29,1204.02,,,,0.03,,,,,
2013-10-30,1205.9,,,,0.04,,,,,
2013-10-31,1204.56,,,,0.04,,,,,
2013-11-01,1217.29,,,,0.04,,,,,
2013-11-02,1259.75,,,,0.04,,,,,
2013-11-03,1302.21,,,,0.04,,,,,
2013-11-04,1344.67,,,,0.04,,,,,
2013-11-05,1373.06,,,,0.04,,,,,
2013-11-06,1552.97,,,,0.05,,,,,
2013-11-07,1756.93,,,,0.05,,,,,
2013-11-08,1980.1,,,,0.06,,,,,
2013-11-09,1997.9,,,,0.06,,,,,
2013-11-10,2015.7,,,,0.05,,,,,
2013-11-11,2033.49,,,,0.05,,,,,
2013-11-12,2122.5,,,,0.05,,,,,
2013-11-13,2415.24,,,,0.06,,,,,
2013-11-14,2448.46,,,,0.06,,,,,
2013-11-15,2542.75,,,,0.06,,,,,
2013-11-16,2857.2,,,,0.06,,,,,
2013-11-17,3171.65,,,,0.06,,,,,
2013-11-18,3486.09,,,,0.07,,,,,
2013-11-19,3708.21,,,,0.05,,,,,
2013-11-20,3417.2,,,,0.04,,,,,
2013-11-21,4089.65,,,,0.05,,,,,
2013-11-22,4445.98,,,,0.05,,,,,
2013-11-23,4571.41,,,,0.06,,,,,
2013-11-24,4696.83,,,,0.07,,,,,
2013-11-25,4822.26,,,,0.08,,,,,
2013-11-26,5075.71,,,,0.14,,,,,
2013-11-27,5583.51,,,,0.14,,,,,
2013-11-28,5994.42,,,,0.16,,,,,
2013-11-29,6765.79,,,,0.18,,,,,
2013-11-30,6509.07,,,,0.24,,,,,
2013-12-01,6252.36,,,,0.3,,,,,
2013-12-02,5995.64,,,,0.35,,,,,
2013-12-03,6664.59,,,,0.3,,,,,
2013-12-04,6949.25,,,,0.34,,,,,
2013-12-05,6154.99,,,,0.34,,,,,
2013-12-06,6363.19,,,,0.29,,,,,
2013-12-07,6112.19,,,,0.28,,,,,
2013-12-08,5861.19,,,,0.26,,,,,
2013-12-09,5610.2,,,,0.24,,,,,
2013-12-10,5810.87,,,,0.27,,,,,
2013-12-11,5566.87,,,,0.24,,,,,
2013-12-12,5512.98,,,,0.22,,,,,
2013-12-13,5643.38,,,,0.22,,,,,
2013-12-14,5422.89,,,,0.19,,,,,
2013-12-15,5202.4,,,,0.17,,,,,
2013-12-16,4981.9,,,,0.15,,,,,
2013-12-17,4378.7,,,,0.12,,,,0.0,
2013-12-18,3566.2,,,,0.11,,,,0.0,
2013-12-19,4335.8,,,,0.13,,,,0.0,
2013-12-20,4459.51,,,,0.14,,,,0.01,
2013-12-21,4359.5,,,,0.14,,,,0.0,
2013-12-22,4259.48,,,,0.15,,,,0.0,
2013-12-23,4159.47,,,,0.15,,,,0.0,
2013-12-24,4250.34,,,,0.15,,,,0.0,
2013-12-25,4307.02,,,,0.14,,,,0.0,
2013-12-26,4753.9,,,,0.16,,,,0.0,
2013-12-27,4765.78,,,,0.17,,,,0.0,
2013-12-28,4829.72,,,,0.17,,,,0.0,
2013-12-29,4893.66,,,,0.18,,,,0.0,
2013-12-30,4957.6,,,,0.18,,,,0.0,
2013-12-31,4922.13,,,,0.18,,,,0.0,
2014-01-01,5004.13,,,,0.18,,,,0.0,
2014-01-02,5056.05,,,,0.19,,,,0.0,
2014-01-03,5411.37,,,,0.18,,,,0.0,
2014-01-04,5665.49,,,,0.18,,,,0.0,
2014-01-05,5919.62,,,,0.17,,,,0.0,
2014-01-06,6173.74,,,,0.17,,,,0.0,
2014-01-07,5454.07,,,,0.16,,,,0.0,
2014-01-08,5536.94,,,,0.15,,,,0.0,
2014-01-09,5653.47,,,,0.15,,,,0.0,
2014-01-10,5748.46,,,,0.15,,,,0.0,
2014-01-11,5708.77,,,,0.15,,,,0.0,
2014-01-12,5669.08,,,,0.15,,,,0.0,
2014-01-13,5629.39,,,,0.14,,,,0.0,
2014-01-14,5621.81,,,,0.14,,,,0.0,
2014-01-15,5771.83,,,,0.15,,,,0.0,
2014-01-16,5675.64,,,,0.14,,,,0.0,
2014-01-17,5524.06,,,,0.14,,,,0.0,
2014-01-18,5660.17,,,,0.14,,,,0.0,
2014-01-19,5796.28,,,,0.14,,,,0.0,
2014-01-20,5932.38,,,,0.14,,,,0.01,
2014-01-21,5986.55,,,,0.14,,,,0.01,
2014-01-22,5996.82,,,,0.14,,,,0.01,
2014-01-23,6691.91,,,,0.15,,,,0.01,
2014-01-24,6459.12,,,,0.15,,,,0.01,
2014-01-25,6681.64,,,,0.15,,,,0.01,
2014-01-26,6904.16,,,,0.16,,,,0.01,
2014-01-27,7126.67,,,,0.16,,,,0.01,
2014-01-28,6228.2,,,,0.17,,,,0.01,
2014-01-29,6537.25,,,,0.16,,,,0.01,
2014-01-30,6541.85,,,,0.16,,,,0.01,
2014-01-31,6558.82,,,,0.16,,,,0.01,
2014-02-01,6545.14,,,,0.17,,,,0.01,
2014-02-02,6531.46,,,,0.17,,,,0.01,
2014-02-03,6517.78,,,,0.17,,,,0.01,
2014-02-04,6665.54,,,,0.17,,,,0.01,
2014-02-05,6560.53,,,,0.16,,,,0.01,
2014-02-06,6342.42,,,,0.16,,,,0.01,
2014-02-07,5656.09,,,,0.14,,,,0.01,
2014-02-08,5566.69,,,,0.14,,,,0.01,
2014-02-09,5477.29,,,,0.14,,,,0.01,
2014-02-10,5387.89,,,,0.14,,,,0.01,
2014-02-11,5456.83,,,,0.14,,,,0.01,
2014-02-12,5118.1,,,,0.13,,,,0.01,
2014-02-13,5091.61,,,,0.13,,,,0.01,
2014-02-14,4870.08,,,,0.12,,,,0.01,
2014-02-15,4915.1,,,,0.12,,,,0.01,
2014-02-16,4960.11,,,,0.12,,,,0.01,
2014-02-17,5005.13,,,,0.12,,,,0.01,
2014-02-18,4850.39,,,,0.12,,,,0.01,
2014-02-19,4831.8,,,,0.12,,,,0.01,
2014-02-20,4641.55,,,,0.12,,,,0.01,
2014-02-21,4570.62,,,,0.11,,,,0.01,
2014-02-22,4545.5,,,,0.12,,,,0.01,
2014-02-23,4520.38,,,,0.12,,,,0.01,
2014-02-24,4495.26,,,,0.12,,,,0.01,
2014-02-25,3849.89,,,,0.09,,,,0.01,
2014-02-26,4468.23,,,,0.11,,,,0.01,
2014-02-27,4623.11,,,,0.11,,,,0.01,
2014-02-28,4472.66,,,,0.11,,,,0.01,
2014-03-01,4521.46,,,,0.11,,,,0.01,
2014-03-02,4570.27,,,,0.11,,,,0.01,
2014-03-03,4619.07,,,,0.11,,,,0.01,
2014-03-04,5322.38,,,,0.12,,,,0.01,
2014-03-05,5190.09,,,,0.12,,,,0.01,
2014-03-06,5160.8,,,,0.13,,,,0.01,
2014-03-07,4855.42,,,,0.12,,,,0.01,
2014-03-08,4864.58,,,,0.12,,,,0.01,
2014-03-09,4873.74,,,,0.12,,,,0.01,
2014-03-10,4882.89,,,,0.11,,,,0.01,
2014-03-11,4908.94,,,,0.12,,,,0.01,
2014-03-12,5026.27,,,,0.11,,,,0.01,
2014-03-13,5032.87,,,,0.11,,,,0.01,
2014-03-14,4970.11,,,,0.11,,,,0.01,
2014-03-15,4959.47,,,,0.11,,,,0.01,
2014-03-16,4948.83,,,,0.11,,,,0.01,
2014-03-17,4938.18,,,,0.11,,,,0.01,
2014-03-18,4867.77,,,,0.11,,,,0.01,
2014-03-19,4855.04,,,,0.11,,,,0.01,
2014-03-20,4707.37,,,,0.11,,,,0.01,
2014-03-21,4638.51,,,,0.11,,,,0.01,
2014-03-22,4609.55,,,,0.1,,,,0.01,
2014-03-23,4580.59,,,,0.1,,,,0.01,
2014-03-24,4551.63,,,,0.1,,,,0.01,
2014-03-25,4663.6,,,,0.1,,,,0.01,
2014-03-26,4677.0,,,,0.1,,,,0.01,
2014-03-27,4543.67,,,,0.09,,,,0.0,
2014-03-28,4030.9,,,,0.09,,,,0.0,
2014-03-29,3907.15,,,,0.08,,,,0.0,
2014-03-30,3783.4,,,,0.08,,,,0.0,
2014-03-31,3659.65,,,,0.07,,,,0.0,
2014-04-01,3830.35,,,,0.07,,,,0.0,
2014-04-02,3499.24,,,,0.08,,,,0.0,
2014-04-03,3578.09,,,,0.06,,,,0.0,
2014-04-04,3592.38,,,,0.06,,,,0.0,
2014-04-05,3615.73,,,,0.06,,,,0.0,
2014-04-06,3639.08,,,,0.06,,,,0.0,
2014-04-07,3662.43,,,,0.07,,,,0.0,
2014-04-08,3604.07,,,,0.07,,,,0.0,
2014-04-09,3521.94,,,,0.06,,,,0.0,
2014-04-10,2886.98,,,,0.05,,,,0.0,
2014-04-11,3360.58,,,,0.05,,,,0.0,
2014-04-12,3460.86,,,,0.05,,,,0.0,
2014-04-13,3561.15,,,,0.05,,,,0.0,
2014-04-14,3661.44,,,,0.05,,,,0.0,
2014-04-15,4161.4,,,,0.06,,,,0.0,
2014-04-16,4233.72,,,,0.05,,,,0.01,
2014-04-17,3955.6,,,,0.05,,,,0.0,
2014-04-18,3826.23,,,,0.05,,,,0.0,
